# theta_idx, align_idx, realization, theta_value, align_value, seedpoints, density
1, 4, 2, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 427.3641321704946
1, 4, 3, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 416.4920323368101
1, 4, 4, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 460.7369485860823
1, 4, 5, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 424.62656119713455
1, 4, 6, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 449.1862631033034
1, 4, 7, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 426.60107106590294
1, 4, 8, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 443.3323465550827
1, 4, 9, 0.15707963267948966, 1.4444444444444444, [2189.89922569], 426.80890333020636
1, 5, 0, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 418.17960128720256
1, 5, 1, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 469.470575062983
1, 5, 2, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 483.1621825652886
1, 5, 3, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 455.18056118158506
1, 5, 4, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 407.85165749944576
1, 5, 5, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 443.7075305937724
1, 5, 6, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 421.8775935776157
1, 5, 7, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 444.86486419170024
1, 5, 8, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 443.29654625931425
1, 5, 9, 0.15707963267948966, 1.5555555555555556, [2108.58446915], 422.4590836518338
1, 6, 0, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 447.1949555863421
1, 6, 1, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 431.12878154580756
1, 6, 2, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 470.13386557651154
1, 6, 3, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 394.9885188787975
1, 6, 4, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 464.28033290059017
1, 6, 5, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 453.5703827915273
1, 6, 6, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 428.79461671663313
1, 6, 7, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 436.6749473327294
1, 6, 8, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 453.415162843231
1, 6, 9, 0.15707963267948966, 1.6666666666666665, [2027.33304121], 438.9768004648339
1, 7, 0, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 424.10812461372717
1, 7, 1, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 455.8752696199321
1, 7, 2, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 439.2377932683595
1, 7, 3, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 442.9731136438235
1, 7, 4, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 435.99041423653784
1, 7, 5, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 443.8114164898176
1, 7, 6, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 429.52281429368986
1, 7, 7, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 443.1190786468977
1, 7, 8, 0.15707963267948966, 1.7777777777777777, [1946.13370789], 425.6550290144803
